comparison_group_id,species,assay_detail_assay_organism,receptor_composition,derived_assay_class,endpoint_class,endpoint_detail,standard_type,standard_units,standard_relation,type,units,target_chembl_id,assay_chembl_id,document_chembl_id,assay_detail_description,assay_detail_assay_parameters,assay_detail_variant_sequence,activity_count,compound_count,activity_ids,compound_ids,drug_ids,point_usable_count,numeric_values_not_aggregated
CG_4e8c157eff9556a70299,rat,Rattus norvegicus,alpha1_beta2_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2095167,CHEMBL829785,CHEMBL1144412,Displacement of [3H]flumazenil from rat GABA-A Gamma-aminobutyric acid A receptor alpha-1-beta-2-gamma-2 expressed in HEK293 cells,[],,1,1,[1505242],"[""CHEMBL911""]","[""zolpidem""]",0,True
CG_4f21695cebb0229a9feb,rat,Rattus norvegicus,alpha2_beta2_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2111327,CHEMBL917144,CHEMBL1142972,Displacement of [3H]flumazenil from rat GABAA alpha-2-beta-2-gamma-2 expressed in HEK293 cells,[],,1,1,[1825758],"[""CHEMBL911""]","[""zolpidem""]",0,True
CG_51b243165907a86eea48,human,Homo sapiens,alpha2_beta2_gamma2,functional,functional_efficacy,maximal_response,Efficacy,%,=,Efficacy,%,CHEMBL2111413,CHEMBL824293,CHEMBL1130157,Maximal potentiation of GABA-evoked Cl- currents in Xenopus oocytes expressing human alpha-2-beta-2-gamma-2 subunits,[],,1,1,[1106755],"[""CHEMBL911""]","[""zolpidem""]",1,True
CG_53bff2f6eadcd0373a58,human,Homo sapiens,alpha1_beta3_gamma2,functional,functional_efficacy,response_not_established_emax,Efficacy,%,=,Efficacy,%,CHEMBL2094121,CHEMBL859118,CHEMBL1149444,Efficacy against recombinant human GABAA alpha1 receptor plus beta3gamma2 expressed in L(tk-) cells by whole cell patch clamp method relative to chlordiazepoxide,[],,1,1,[1681580],"[""CHEMBL12""]","[""diazepam""]",1,True
CG_54c44bdaf9e5eff24a30,unknown,,alpha2_beta3_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2094130,CHEMBL682708,CHEMBL1133060,Binding affinity evaluated by ability to displace [3H]-Ro-15-1788 from recombinant human Gamma-aminobutyric acid A receptor alpha-2-beta-3-gamma-2 expressed in L(tk-)cells,[],,1,1,[442387],"[""CHEMBL12""]","[""diazepam""]",0,True
CG_59b302cf674b97468a5f,unknown,,alpha2_beta3_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2094130,CHEMBL824294,CHEMBL1131013,Binding affinity measured using LtK- cell membranes expressing GABA alpha-2-beta-3-gamma-2 receptor,[],,1,1,[886262],"[""CHEMBL911""]","[""zolpidem""]",0,True
CG_5b90ed247aaede78cf53,rat,Rattus norvegicus,alpha1_beta2_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2095167,CHEMBL679467,CHEMBL1135690,Displacement of [3H]Ro-151788 from rat GABA-A receptor alpha-1-beta-2-gamma-2 subunits expressed in HEK293 cells,[],,2,2,"[807851,793338]","[""CHEMBL12"",""CHEMBL911""]","[""diazepam"",""zolpidem""]",2,True
CG_5c493e195844241a68cc,human,Homo sapiens,alpha2_beta3_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2094130,CHEMBL919088,CHEMBL1139460,Displacement of [3H]Ro 15-1788 from human recombinant GABAA alpha-2-beta-3-gamma-2 receptor expressed in L(tk-) cells,[],,2,2,"[1844028,1844050]","[""CHEMBL12"",""CHEMBL911""]","[""diazepam"",""zolpidem""]",0,True
CG_612500bdac24af01b5bd,rat,Rattus norvegicus,alpha2_beta2_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2111327,CHEMBL680297,CHEMBL1145105,Binding affinity for recombinant rat GABA-A receptor alpha-2-beta-2-gamma-2 subunits expressed in HEK293 cells,[],,2,2,"[792165,810276]","[""CHEMBL12"",""CHEMBL911""]","[""diazepam"",""zolpidem""]",2,True
CG_683a3d6556968ee48147,human,Homo sapiens,alpha2_beta3_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2094130,CHEMBL829005,CHEMBL1142695,Inhibition of [3H]Ro-151788 binding to recombinant human gamma-aminobutyric acid A receptor alpha-2-beta-3-gamma-2 subtype expressed in L (tk-) cells,[],,2,2,"[1412502,1412601]","[""CHEMBL12"",""CHEMBL911""]","[""diazepam"",""zolpidem""]",1,True
CG_6bf0ee5d906fd0ca83fd,unknown,,alpha2_beta2_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2111413,CHEMBL942241,CHEMBL1152298,Displacement of [3H]Ro-151788 from benzodiazepine binding site of GABAA alpha-2-beta-2-gamma-2 receptor expressed in HEK293T cells,[],,1,1,[2401380],"[""CHEMBL911""]","[""zolpidem""]",0,True
CG_6cbd6ab540fa77163c52,unknown,,alpha1_beta2_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2095172,CHEMBL677847,CHEMBL1133060,Binding affinity evaluated by ability to displace [3H]Ro-151788 from recombinant human Gamma-aminobutyric acid A receptor alpha-1-beta-2-gamma-2 expressed in L(tk-)cells,[],,1,1,[442386],"[""CHEMBL12""]","[""diazepam""]",0,True
CG_6d30a3901011591bc1e6,human,Homo sapiens,alpha1_beta3_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2094121,CHEMBL853068,CHEMBL1149444,Displacement of [3H]Ro 15-1788 from recombinant human GABAA alpha-1 receptor plus beta3gamma2 expressed in L(tk-) cells,[],,1,1,[1679889],"[""CHEMBL12""]","[""diazepam""]",0,True
CG_79ffac5ac869b27eb28d,unknown,,alpha2_beta3_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2094130,CHEMBL681248,CHEMBL1132940,Binding affinity to human recombinant gamma-aminobutyric-acid (GABA) A receptor alpha-2-beta-3-gamma-2,[],,3,3,"[599581,599587,618408]","[""CHEMBL12"",""CHEMBL646"",""CHEMBL911""]","[""diazepam"",""triazolam"",""zolpidem""]",0,True
CG_7bc0777253cb749e6a40,human,Homo sapiens,alpha2_beta3_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2094130,CHEMBL853070,CHEMBL1149444,Displacement of [3H] Ro15-1788 from recombinant human GABAA alpha2 receptor plus beta-3-gamma-2 expressed in L(tk-) cells,[],,1,1,[1679890],"[""CHEMBL12""]","[""diazepam""]",1,True
CG_82703a18ad76db2ab4f6,rat,Rattus norvegicus,alpha2_beta2_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2111327,CHEMBL829786,CHEMBL1144412,Displacement of [3H]flumazenil from rat GABA-A Gamma-aminobutyric acid A receptor alpha-2-beta-2-gamma-2 expressed in HEK293 cells,[],,1,1,[1505243],"[""CHEMBL911""]","[""zolpidem""]",1,True
CG_874afaf3ff458ffd9292,human,Homo sapiens,alpha1_beta3_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2094121,CHEMBL919087,CHEMBL1139460,Displacement of [3H]Ro 15-1788 from human recombinant GABAA alpha-1-beta-3-gamma-2 receptor expressed in L(tk-) cells,[],,2,2,"[1844027,1844041]","[""CHEMBL12"",""CHEMBL911""]","[""diazepam"",""zolpidem""]",0,True
CG_87ddfacc39c21828bd25,unknown,,alpha2_beta3_gamma2,functional,functional_efficacy,response_not_established_emax,Efficacy,%,=,Efficacy,%,CHEMBL2094130,CHEMBL877823,CHEMBL1148356,Percent change in electrophysiological response in Xenopus oocytes expressing Alpha2-beta3-gamma2 GABA-A receptor,[],,1,1,[662353],"[""CHEMBL911""]","[""zolpidem""]",0,True
CG_8e83c90b7939cfc43d16,rat,Rattus norvegicus,alpha1_beta2_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2095167,CHEMBL904137,CHEMBL1142927,Displacement of [3H]Ro15-1788 from rat recombinant GABA alpha-1-beta-2-gamma-2 receptor expressed in HEK293 cells,[],,1,1,[1876208],"[""CHEMBL12""]","[""diazepam""]",1,True
CG_968b29c8291e85dfb3de,human,Homo sapiens,alpha1_beta2_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2095172,CHEMBL5146040,CHEMBL5143601,Displacement of [3H]flunitrazepam from human recombinant alpha1beta2gamma2 GABAA receptor expressed in HEK cell membrane by competitive radioligand binding assay,[],,2,2,"[24843214,24843226]","[""CHEMBL12"",""CHEMBL661""]","[""alprazolam"",""diazepam""]",2,True
CG_997ab57638db1aaa5a75,human,Homo sapiens,alpha1_beta3_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2094121,CHEMBL864002,CHEMBL1148587,Displacement of [3H]-Ro15-1788 from human recombinant GABAA alpha1 in combination with beta-3-gamma-2 expressed in L(tk-) cells,[],,1,1,[1667045],"[""CHEMBL12""]","[""diazepam""]",0,True
CG_9edbbfd9fc894cb178ba,unknown,,alpha1_beta2_gamma2,binding,binding,binding_ic50,IC50,nM,=,IC50,nM,CHEMBL2095172,CHEMBL678631,CHEMBL1130521,Inhibition of [3H]flumazenil binding to recombinant GABA-A receptor alpha-1-beta-2-gamma-2 subunits,[],,1,1,[574083],"[""CHEMBL911""]","[""zolpidem""]",0,True
CG_a0f2d100f2e895c796ed,rat,Rattus norvegicus,alpha1_beta2_gamma2,functional,functional_efficacy,fixed_concentration_response,GABA current,%,=,GABA current,%,CHEMBL2095167,CHEMBL681621,CHEMBL1132818,"Percent GABA current elicited in Xenopus laevis oocytes expressing rat GABA-A alpha-1-beta-2-gamma-2 subunits at 1 uM [(-)inhibition, (+)stimulation]",[],,1,1,[389959],"[""CHEMBL12""]","[""diazepam""]",1,True
CG_acf29a678e7d8ba3a5f8,unknown,,alpha1_beta3_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2094121,CHEMBL677034,CHEMBL1148356,Binding affinity towards human alpha-1-beta-3-gamma-2 GABA-A receptor using [3H]Ro-151788 expressed in L(tk-) cells,[],,2,2,"[667544,662350]","[""CHEMBL12"",""CHEMBL911""]","[""diazepam"",""zolpidem""]",0,True
CG_ad3bad7c7cacb325a124,human,Homo sapiens,alpha1_beta3_gamma2,functional,functional_efficacy,response_not_established_emax,Efficacy,%,=,Efficacy,%,CHEMBL2094121,CHEMBL677030,CHEMBL1148356,Percent change in electrophysiological response in Xenopus oocytes expressing alpha-1-beta-3-gamma-2 GABA-A receptor,[],,1,1,[667545],"[""CHEMBL12""]","[""diazepam""]",1,True
CG_b1bbba82e12bd4ada49c,human,Homo sapiens,alpha1_beta3_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2094121,CHEMBL829006,CHEMBL1142695,Inhibition of [3H]Ro-151788 binding to recombinant human gamma-aminobutyric-acid A receptor alpha-1-beta-3-gamma-2 subtype expressed in L (tk-) cells,[],,2,2,"[1412501,1412600]","[""CHEMBL12"",""CHEMBL911""]","[""diazepam"",""zolpidem""]",1,True
CG_c5e27256754516b6ca16,rat,Rattus norvegicus,alpha1_beta2_gamma2,functional,functional_efficacy,response_not_established_emax,Activity,%,=,Activity,%,CHEMBL2095167,CHEMBL917148,CHEMBL1142972,Agonist activity at rat GABAA alpha-1-beta-2-gamma-2 expressed in HEK293 cells assessed as chloride influx,[],,1,1,[1825792],"[""CHEMBL12""]","[""diazepam""]",1,True
CG_c70085e1840ee6ec3c82,human,Homo sapiens,alpha1_beta3_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2094121,CHEMBL6080337,CHEMBL6078658,Displacement of [3H]flumazenil from human recombinant alpha1-beta3-gamma2 GABAA receptors expressed in mouse LTK- cells incubated for 1 hr by liquid scintillation counter analysis,[],,1,1,[29082441],"[""CHEMBL12""]","[""diazepam""]",1,True
CG_c9961c994bacc35a9aaf,rat,Rattus norvegicus,alpha1_beta2_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2095167,CHEMBL679468,CHEMBL1145105,Binding affinity for recombinant rat GABA-A receptor alpha-1-beta-2-gamma-2 subunits expressed in HEK293 cells,[],,2,2,"[792164,810275]","[""CHEMBL12"",""CHEMBL911""]","[""diazepam"",""zolpidem""]",0,True
CG_d49d04c5f8810f97ba05,rat,Rattus norvegicus,alpha1_beta2_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2095167,CHEMBL861092,CHEMBL1146100,Displacement of [3H]flumazenil from rat GABA-Aalpha1 receptor plus beta-2-gamma-2 in HEK293 cells,[],,1,1,[1700832],"[""CHEMBL911""]","[""zolpidem""]",0,True
CG_d4dfd20cf5c5afe7613e,human,Homo sapiens,alpha2_beta3_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2094130,CHEMBL864003,CHEMBL1148587,Displacement of [3H]-Ro15-1788 from human recombinant GABAA alpha2 in combination with beta3gamma2 expressed in L(tk-) cells,[],,1,1,[1667046],"[""CHEMBL12""]","[""diazepam""]",0,True
CG_dc136cfff593536fef3a,human,Homo sapiens,alpha1_beta3_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2094121,CHEMBL1273615,CHEMBL1268934,Displacement of [3H]flunitrazepam from human recombinant GABAA alpha-1-beta-3-gamma-2 receptor expressed in HEK cells by liquid scintillation counting,[],,1,1,[3519533],"[""CHEMBL911""]","[""zolpidem""]",0,True
CG_ea36aefeab6fe3968ba7,unknown,,alpha1_beta3_gamma2,functional,functional_efficacy,response_not_established_emax,Efficacy,%,=,Efficacy,%,CHEMBL2094121,CHEMBL677029,CHEMBL1148356,Percent change in electrophysiological response in Xenopus oocytes expressing Alpha1-beta3-gamma2 GABA-A receptor,[],,1,1,[662351],"[""CHEMBL911""]","[""zolpidem""]",0,True
CG_eb78cb0a3c70dbd4a289,human,Homo sapiens,alpha2_beta3_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2094130,CHEMBL681841,CHEMBL1149126,Binding affinity for human GABA-A receptor alpha-2-beta-3-gamma-2 subunits in L(tk-) cells,[],,2,2,"[604851,595755]","[""CHEMBL12"",""CHEMBL911""]","[""diazepam"",""zolpidem""]",0,True
CG_ec2b18f8f7dcc7e26943,rat,Rattus norvegicus,alpha1_beta2_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2095167,CHEMBL682784,CHEMBL1134525,Inhibition of [3H]flumazenil specific binding at rat GABA-A alpha-1-beta-2-gamma-2 receptor subunits expressed in HEK293 cells,[],,1,1,[908901],"[""CHEMBL911""]","[""zolpidem""]",1,True
CG_f0f53e56b3a05efcaede,rat,Rattus norvegicus,alpha2_beta2_gamma2,binding,binding,ki,Ki,nM,=,Ki,nM,CHEMBL2111327,CHEMBL861093,CHEMBL1146100,Displacement of [3H]flumazenil from rat GABA-Aalpha2 receptor plus beta-2-gamma-2 in HEK293 cells,[],,1,1,[1700838],"[""CHEMBL911""]","[""zolpidem""]",0,True
