drug_id,species,strain,phenotype_category,assay,route,dose_mg_per_kg,time_min,endpoint,raw_value,raw_unit,n_tested,effect_size,effect_direction,evidence_tier,study_id,reference,pmid,doi,source_url,condition_note,sd,source_row_id,source_file,source_sha256,comparison_status,availability
diazepam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,10.0,60.0,positive_or_fallen_mice,9.0,positive_mice_count,10.0,0.9,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,,10,runs/20260917_1706_structure_mouse_bridge/data/processed/mouse_phenotype_raw.csv,813e40645c6c4e9d1d166200d27b562bfd571490caff744275f4b938c1b3f75f,context_separate_not_pooled,NA
diazepam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,10.0,90.0,positive_or_fallen_mice,8.0,positive_mice_count,10.0,0.8,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,,11,runs/20260917_1706_structure_mouse_bridge/data/processed/mouse_phenotype_raw.csv,813e40645c6c4e9d1d166200d27b562bfd571490caff744275f4b938c1b3f75f,context_separate_not_pooled,NA
diazepam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,20.0,15.0,positive_or_fallen_mice,9.0,positive_mice_count,10.0,0.9,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,,12,runs/20260917_1706_structure_mouse_bridge/data/processed/mouse_phenotype_raw.csv,813e40645c6c4e9d1d166200d27b562bfd571490caff744275f4b938c1b3f75f,context_separate_not_pooled,NA
diazepam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,20.0,30.0,positive_or_fallen_mice,10.0,positive_mice_count,10.0,1.0,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,,13,runs/20260917_1706_structure_mouse_bridge/data/processed/mouse_phenotype_raw.csv,813e40645c6c4e9d1d166200d27b562bfd571490caff744275f4b938c1b3f75f,context_separate_not_pooled,NA
diazepam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,20.0,60.0,positive_or_fallen_mice,10.0,positive_mice_count,10.0,1.0,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,,14,runs/20260917_1706_structure_mouse_bridge/data/processed/mouse_phenotype_raw.csv,813e40645c6c4e9d1d166200d27b562bfd571490caff744275f4b938c1b3f75f,context_separate_not_pooled,NA
diazepam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,20.0,90.0,positive_or_fallen_mice,9.0,positive_mice_count,10.0,0.9,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,,15,runs/20260917_1706_structure_mouse_bridge/data/processed/mouse_phenotype_raw.csv,813e40645c6c4e9d1d166200d27b562bfd571490caff744275f4b938c1b3f75f,context_separate_not_pooled,NA
triazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,0.5,15.0,positive_or_fallen_mice,2.0,positive_mice_count,10.0,0.2,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,,16,runs/20260917_1706_structure_mouse_bridge/data/processed/mouse_phenotype_raw.csv,813e40645c6c4e9d1d166200d27b562bfd571490caff744275f4b938c1b3f75f,context_separate_not_pooled,NA
triazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,0.5,30.0,positive_or_fallen_mice,3.0,positive_mice_count,10.0,0.3,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,,17,runs/20260917_1706_structure_mouse_bridge/data/processed/mouse_phenotype_raw.csv,813e40645c6c4e9d1d166200d27b562bfd571490caff744275f4b938c1b3f75f,context_separate_not_pooled,NA
triazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,0.5,60.0,positive_or_fallen_mice,3.0,positive_mice_count,10.0,0.3,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,,18,runs/20260917_1706_structure_mouse_bridge/data/processed/mouse_phenotype_raw.csv,813e40645c6c4e9d1d166200d27b562bfd571490caff744275f4b938c1b3f75f,context_separate_not_pooled,NA
triazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,0.5,90.0,positive_or_fallen_mice,9.0,positive_mice_count,10.0,0.9,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,,19,runs/20260917_1706_structure_mouse_bridge/data/processed/mouse_phenotype_raw.csv,813e40645c6c4e9d1d166200d27b562bfd571490caff744275f4b938c1b3f75f,context_separate_not_pooled,NA
triazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,1.0,15.0,positive_or_fallen_mice,3.0,positive_mice_count,10.0,0.3,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,,20,runs/20260917_1706_structure_mouse_bridge/data/processed/mouse_phenotype_raw.csv,813e40645c6c4e9d1d166200d27b562bfd571490caff744275f4b938c1b3f75f,context_separate_not_pooled,NA
triazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,1.0,30.0,positive_or_fallen_mice,4.0,positive_mice_count,10.0,0.4,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,,21,runs/20260917_1706_structure_mouse_bridge/data/processed/mouse_phenotype_raw.csv,813e40645c6c4e9d1d166200d27b562bfd571490caff744275f4b938c1b3f75f,context_separate_not_pooled,NA
triazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,1.0,60.0,positive_or_fallen_mice,4.0,positive_mice_count,10.0,0.4,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,,22,runs/20260917_1706_structure_mouse_bridge/data/processed/mouse_phenotype_raw.csv,813e40645c6c4e9d1d166200d27b562bfd571490caff744275f4b938c1b3f75f,context_separate_not_pooled,NA
triazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,1.0,90.0,positive_or_fallen_mice,2.0,positive_mice_count,10.0,0.2,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,,23,runs/20260917_1706_structure_mouse_bridge/data/processed/mouse_phenotype_raw.csv,813e40645c6c4e9d1d166200d27b562bfd571490caff744275f4b938c1b3f75f,context_separate_not_pooled,NA
triazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,2.0,15.0,positive_or_fallen_mice,5.0,positive_mice_count,10.0,0.5,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,,24,runs/20260917_1706_structure_mouse_bridge/data/processed/mouse_phenotype_raw.csv,813e40645c6c4e9d1d166200d27b562bfd571490caff744275f4b938c1b3f75f,same_recorded_dose_time_context; strain_unreported,NA
triazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,2.0,30.0,positive_or_fallen_mice,8.0,positive_mice_count,10.0,0.8,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,,25,runs/20260917_1706_structure_mouse_bridge/data/processed/mouse_phenotype_raw.csv,813e40645c6c4e9d1d166200d27b562bfd571490caff744275f4b938c1b3f75f,same_recorded_dose_time_context; strain_unreported,NA
triazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,2.0,60.0,positive_or_fallen_mice,7.0,positive_mice_count,10.0,0.7,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,,26,runs/20260917_1706_structure_mouse_bridge/data/processed/mouse_phenotype_raw.csv,813e40645c6c4e9d1d166200d27b562bfd571490caff744275f4b938c1b3f75f,same_recorded_dose_time_context; strain_unreported,NA
triazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,2.0,90.0,positive_or_fallen_mice,5.0,positive_mice_count,10.0,0.5,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,,27,runs/20260917_1706_structure_mouse_bridge/data/processed/mouse_phenotype_raw.csv,813e40645c6c4e9d1d166200d27b562bfd571490caff744275f4b938c1b3f75f,same_recorded_dose_time_context; strain_unreported,NA
triazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,5.0,15.0,positive_or_fallen_mice,8.0,positive_mice_count,10.0,0.8,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,,28,runs/20260917_1706_structure_mouse_bridge/data/processed/mouse_phenotype_raw.csv,813e40645c6c4e9d1d166200d27b562bfd571490caff744275f4b938c1b3f75f,same_recorded_dose_time_context; strain_unreported,NA
triazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,5.0,30.0,positive_or_fallen_mice,9.0,positive_mice_count,10.0,0.9,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,,29,runs/20260917_1706_structure_mouse_bridge/data/processed/mouse_phenotype_raw.csv,813e40645c6c4e9d1d166200d27b562bfd571490caff744275f4b938c1b3f75f,same_recorded_dose_time_context; strain_unreported,NA
triazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,5.0,60.0,positive_or_fallen_mice,9.0,positive_mice_count,10.0,0.9,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,,30,runs/20260917_1706_structure_mouse_bridge/data/processed/mouse_phenotype_raw.csv,813e40645c6c4e9d1d166200d27b562bfd571490caff744275f4b938c1b3f75f,same_recorded_dose_time_context; strain_unreported,NA
triazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,5.0,90.0,positive_or_fallen_mice,4.0,positive_mice_count,10.0,0.4,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,,31,runs/20260917_1706_structure_mouse_bridge/data/processed/mouse_phenotype_raw.csv,813e40645c6c4e9d1d166200d27b562bfd571490caff744275f4b938c1b3f75f,same_recorded_dose_time_context; strain_unreported,NA
triazolam,mouse,ddY,motor_impairment,rotarod,intraperitoneal,0.3,,qualitative_motor_coordination_result,,qualitative,,,motor_coordination_impaired,P1,Tanaka2008,"Tanaka et al., J Pharmacol Sci 107:277-284 (2008)",18603831,10.1254/jphs.FP0071991,https://www.jstage.jst.go.jp/article/jphs/107/3/107_FP0071991/_pdf,Same-study qualitative rotarod result; no numeric fraction inferred.,,32,runs/20260917_1706_structure_mouse_bridge/data/processed/mouse_phenotype_raw.csv,813e40645c6c4e9d1d166200d27b562bfd571490caff744275f4b938c1b3f75f,context_separate_not_pooled,NA
zolpidem,mouse,ddY,motor_impairment,rotarod,intraperitoneal,3.0,,qualitative_motor_coordination_result,,qualitative,,,no_effect_under_test_condition,P1,Tanaka2008,"Tanaka et al., J Pharmacol Sci 107:277-284 (2008)",18603831,10.1254/jphs.FP0071991,https://www.jstage.jst.go.jp/article/jphs/107/3/107_FP0071991/_pdf,Same-study qualitative rotarod result; no numeric fraction inferred.,,33,runs/20260917_1706_structure_mouse_bridge/data/processed/mouse_phenotype_raw.csv,813e40645c6c4e9d1d166200d27b562bfd571490caff744275f4b938c1b3f75f,context_separate_not_pooled,NA
zolpidem,mouse,ddY,sedation_hypnosis,righting_reflex_with_thiopental,intraperitoneal_with_thiopental,3.0,,righting_reflex_duration,205.3,seconds_mean,,,sedation_duration,P1,Tanaka2008,"Tanaka et al., J Pharmacol Sci 107:277-284 (2008)",18603831,10.1254/jphs.FP0071991,https://www.jstage.jst.go.jp/article/jphs/107/3/107_FP0071991/_pdf,Supporting endpoint; not merged with rotarod values.,62.6,34,runs/20260917_1706_structure_mouse_bridge/data/processed/mouse_phenotype_raw.csv,813e40645c6c4e9d1d166200d27b562bfd571490caff744275f4b938c1b3f75f,context_separate_not_pooled,NA
zolpidem,mouse,ddY,sedation_hypnosis,righting_reflex_with_thiopental,intraperitoneal_with_thiopental,10.0,,righting_reflex_duration,1109.1,seconds_mean,,,sedation_duration,P1,Tanaka2008,"Tanaka et al., J Pharmacol Sci 107:277-284 (2008)",18603831,10.1254/jphs.FP0071991,https://www.jstage.jst.go.jp/article/jphs/107/3/107_FP0071991/_pdf,Supporting endpoint; not merged with rotarod values.,122.1,35,runs/20260917_1706_structure_mouse_bridge/data/processed/mouse_phenotype_raw.csv,813e40645c6c4e9d1d166200d27b562bfd571490caff744275f4b938c1b3f75f,context_separate_not_pooled,NA
triazolam,mouse,ddY,sedation_hypnosis,righting_reflex_with_thiopental,intraperitoneal_with_thiopental,0.3,,righting_reflex_duration,234.8,seconds_mean,,,sedation_duration,P1,Tanaka2008,"Tanaka et al., J Pharmacol Sci 107:277-284 (2008)",18603831,10.1254/jphs.FP0071991,https://www.jstage.jst.go.jp/article/jphs/107/3/107_FP0071991/_pdf,Supporting endpoint; not merged with rotarod values.,39.5,36,runs/20260917_1706_structure_mouse_bridge/data/processed/mouse_phenotype_raw.csv,813e40645c6c4e9d1d166200d27b562bfd571490caff744275f4b938c1b3f75f,context_separate_not_pooled,NA
diazepam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,not_reported_in_abstract,,,qualitative_report,,qualitative,,,dose-related impairment in mice,P1,Bayley1996,Bayley1996,22302946,10.1177/026988119601000305,https://pubmed.ncbi.nlm.nih.gov/22302946/,Qualitative source evidence retained; no numeric value imputed.,,39,runs/20260917_1706_structure_mouse_bridge/data/processed/mouse_phenotype_raw.csv,813e40645c6c4e9d1d166200d27b562bfd571490caff744275f4b938c1b3f75f,context_separate_not_pooled,NA
zolpidem,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,not_reported_in_abstract,,,qualitative_report,,qualitative,,,dose-related impairment in mice,P1,Bayley1996,Bayley1996,22302946,10.1177/026988119601000305,https://pubmed.ncbi.nlm.nih.gov/22302946/,Qualitative source evidence retained; no numeric value imputed.,,40,runs/20260917_1706_structure_mouse_bridge/data/processed/mouse_phenotype_raw.csv,813e40645c6c4e9d1d166200d27b562bfd571490caff744275f4b938c1b3f75f,context_separate_not_pooled,NA
alprazolam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_existing_P1_mouse_evidence,NA
lorazepam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_existing_P1_mouse_evidence,NA
clonazepam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_existing_P1_mouse_evidence,NA
midazolam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_existing_P1_mouse_evidence,NA
temazepam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_existing_P1_mouse_evidence,NA
zopiclone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_existing_P1_mouse_evidence,NA
zaleplon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_existing_P1_mouse_evidence,NA
