representation,drug_i,drug_j,comparable_features,analysis_common_features
B_alpha1,zaleplon,zolpidem,21,21
B_alpha1,zaleplon,lorazepam,21,21
B_alpha1,zaleplon,clonazepam,21,21
B_alpha1,zaleplon,midazolam,21,21
B_alpha1,zaleplon,temazepam,21,21
B_alpha1,zaleplon,zopiclone,21,21
B_alpha1,zaleplon,zaleplon,21,21
B_alpha2,diazepam,diazepam,27,27
B_alpha2,diazepam,alprazolam,27,27
B_alpha2,diazepam,triazolam,27,27
B_alpha2,diazepam,zolpidem,27,27
B_alpha2,diazepam,lorazepam,27,27
B_alpha2,diazepam,clonazepam,27,27
B_alpha2,diazepam,midazolam,27,27
B_alpha2,diazepam,temazepam,27,27
B_alpha2,diazepam,zopiclone,27,27
B_alpha2,diazepam,zaleplon,27,27
B_alpha2,alprazolam,diazepam,27,27
B_alpha2,alprazolam,alprazolam,27,27
B_alpha2,alprazolam,triazolam,27,27
B_alpha2,alprazolam,zolpidem,27,27
B_alpha2,alprazolam,lorazepam,27,27
B_alpha2,alprazolam,clonazepam,27,27
B_alpha2,alprazolam,midazolam,27,27
B_alpha2,alprazolam,temazepam,27,27
B_alpha2,alprazolam,zopiclone,27,27
B_alpha2,alprazolam,zaleplon,27,27
B_alpha2,triazolam,diazepam,27,27
B_alpha2,triazolam,alprazolam,27,27
B_alpha2,triazolam,triazolam,27,27
B_alpha2,triazolam,zolpidem,27,27
B_alpha2,triazolam,lorazepam,27,27
B_alpha2,triazolam,clonazepam,27,27
B_alpha2,triazolam,midazolam,27,27
B_alpha2,triazolam,temazepam,27,27
B_alpha2,triazolam,zopiclone,27,27
B_alpha2,triazolam,zaleplon,27,27
B_alpha2,zolpidem,diazepam,27,27
B_alpha2,zolpidem,alprazolam,27,27
B_alpha2,zolpidem,triazolam,27,27
B_alpha2,zolpidem,zolpidem,27,27
B_alpha2,zolpidem,lorazepam,27,27
B_alpha2,zolpidem,clonazepam,27,27
B_alpha2,zolpidem,midazolam,27,27
B_alpha2,zolpidem,temazepam,27,27
B_alpha2,zolpidem,zopiclone,27,27
B_alpha2,zolpidem,zaleplon,27,27
B_alpha2,lorazepam,diazepam,27,27
B_alpha2,lorazepam,alprazolam,27,27
B_alpha2,lorazepam,triazolam,27,27
B_alpha2,lorazepam,zolpidem,27,27
B_alpha2,lorazepam,lorazepam,27,27
B_alpha2,lorazepam,clonazepam,27,27
B_alpha2,lorazepam,midazolam,27,27
B_alpha2,lorazepam,temazepam,27,27
B_alpha2,lorazepam,zopiclone,27,27
B_alpha2,lorazepam,zaleplon,27,27
B_alpha2,clonazepam,diazepam,27,27
B_alpha2,clonazepam,alprazolam,27,27
B_alpha2,clonazepam,triazolam,27,27
B_alpha2,clonazepam,zolpidem,27,27
B_alpha2,clonazepam,lorazepam,27,27
B_alpha2,clonazepam,clonazepam,27,27
B_alpha2,clonazepam,midazolam,27,27
B_alpha2,clonazepam,temazepam,27,27
B_alpha2,clonazepam,zopiclone,27,27
B_alpha2,clonazepam,zaleplon,27,27
B_alpha2,midazolam,diazepam,27,27
B_alpha2,midazolam,alprazolam,27,27
B_alpha2,midazolam,triazolam,27,27
B_alpha2,midazolam,zolpidem,27,27
B_alpha2,midazolam,lorazepam,27,27
B_alpha2,midazolam,clonazepam,27,27
B_alpha2,midazolam,midazolam,27,27
B_alpha2,midazolam,temazepam,27,27
B_alpha2,midazolam,zopiclone,27,27
B_alpha2,midazolam,zaleplon,27,27
B_alpha2,temazepam,diazepam,27,27
B_alpha2,temazepam,alprazolam,27,27
B_alpha2,temazepam,triazolam,27,27
B_alpha2,temazepam,zolpidem,27,27
B_alpha2,temazepam,lorazepam,27,27
B_alpha2,temazepam,clonazepam,27,27
B_alpha2,temazepam,midazolam,27,27
B_alpha2,temazepam,temazepam,27,27
B_alpha2,temazepam,zopiclone,27,27
B_alpha2,temazepam,zaleplon,27,27
B_alpha2,zopiclone,diazepam,27,27
B_alpha2,zopiclone,alprazolam,27,27
B_alpha2,zopiclone,triazolam,27,27
B_alpha2,zopiclone,zolpidem,27,27
B_alpha2,zopiclone,lorazepam,27,27
B_alpha2,zopiclone,clonazepam,27,27
B_alpha2,zopiclone,midazolam,27,27
B_alpha2,zopiclone,temazepam,27,27
B_alpha2,zopiclone,zopiclone,27,27
B_alpha2,zopiclone,zaleplon,27,27
B_alpha2,zaleplon,diazepam,27,27
B_alpha2,zaleplon,alprazolam,27,27
B_alpha2,zaleplon,triazolam,27,27
B_alpha2,zaleplon,zolpidem,27,27
B_alpha2,zaleplon,lorazepam,27,27
B_alpha2,zaleplon,clonazepam,27,27
B_alpha2,zaleplon,midazolam,27,27
B_alpha2,zaleplon,temazepam,27,27
B_alpha2,zaleplon,zopiclone,27,27
B_alpha2,zaleplon,zaleplon,27,27
E,diazepam,diazepam,48,48
E,diazepam,alprazolam,48,48
E,diazepam,triazolam,48,48
E,diazepam,zolpidem,48,48
E,diazepam,lorazepam,48,48
E,diazepam,clonazepam,48,48
E,diazepam,midazolam,48,48
E,diazepam,temazepam,48,48
E,diazepam,zopiclone,48,48
E,diazepam,zaleplon,48,48
E,alprazolam,diazepam,48,48
E,alprazolam,alprazolam,48,48
E,alprazolam,triazolam,48,48
E,alprazolam,zolpidem,48,48
E,alprazolam,lorazepam,48,48
E,alprazolam,clonazepam,48,48
E,alprazolam,midazolam,48,48
E,alprazolam,temazepam,48,48
E,alprazolam,zopiclone,48,48
E,alprazolam,zaleplon,48,48
E,triazolam,diazepam,48,48
E,triazolam,alprazolam,48,48
E,triazolam,triazolam,48,48
E,triazolam,zolpidem,48,48
E,triazolam,lorazepam,48,48
E,triazolam,clonazepam,48,48
E,triazolam,midazolam,48,48
E,triazolam,temazepam,48,48
E,triazolam,zopiclone,48,48
E,triazolam,zaleplon,48,48
E,zolpidem,diazepam,48,48
E,zolpidem,alprazolam,48,48
E,zolpidem,triazolam,48,48
E,zolpidem,zolpidem,48,48
E,zolpidem,lorazepam,48,48
E,zolpidem,clonazepam,48,48
E,zolpidem,midazolam,48,48
E,zolpidem,temazepam,48,48
E,zolpidem,zopiclone,48,48
E,zolpidem,zaleplon,48,48
E,lorazepam,diazepam,48,48
E,lorazepam,alprazolam,48,48
E,lorazepam,triazolam,48,48
E,lorazepam,zolpidem,48,48
E,lorazepam,lorazepam,48,48
E,lorazepam,clonazepam,48,48
E,lorazepam,midazolam,48,48
E,lorazepam,temazepam,48,48
E,lorazepam,zopiclone,48,48
E,lorazepam,zaleplon,48,48
E,clonazepam,diazepam,48,48
E,clonazepam,alprazolam,48,48
E,clonazepam,triazolam,48,48
E,clonazepam,zolpidem,48,48
E,clonazepam,lorazepam,48,48
E,clonazepam,clonazepam,48,48
E,clonazepam,midazolam,48,48
E,clonazepam,temazepam,48,48
E,clonazepam,zopiclone,48,48
E,clonazepam,zaleplon,48,48
E,midazolam,diazepam,48,48
E,midazolam,alprazolam,48,48
E,midazolam,triazolam,48,48
E,midazolam,zolpidem,48,48
E,midazolam,lorazepam,48,48
E,midazolam,clonazepam,48,48
E,midazolam,midazolam,48,48
E,midazolam,temazepam,48,48
E,midazolam,zopiclone,48,48
E,midazolam,zaleplon,48,48
E,temazepam,diazepam,48,48
E,temazepam,alprazolam,48,48
E,temazepam,triazolam,48,48
E,temazepam,zolpidem,48,48
E,temazepam,lorazepam,48,48
E,temazepam,clonazepam,48,48
E,temazepam,midazolam,48,48
E,temazepam,temazepam,48,48
E,temazepam,zopiclone,48,48
E,temazepam,zaleplon,48,48
E,zopiclone,diazepam,48,48
E,zopiclone,alprazolam,48,48
E,zopiclone,triazolam,48,48
E,zopiclone,zolpidem,48,48
E,zopiclone,lorazepam,48,48
E,zopiclone,clonazepam,48,48
E,zopiclone,midazolam,48,48
E,zopiclone,temazepam,48,48
E,zopiclone,zopiclone,48,48
E,zopiclone,zaleplon,48,48
E,zaleplon,diazepam,48,48
E,zaleplon,alprazolam,48,48
E,zaleplon,triazolam,48,48
E,zaleplon,zolpidem,48,48
E,zaleplon,lorazepam,48,48
E,zaleplon,clonazepam,48,48
E,zaleplon,midazolam,48,48
E,zaleplon,temazepam,48,48
E,zaleplon,zopiclone,48,48
E,zaleplon,zaleplon,48,48
