drug_id,species,strain,phenotype_category,assay,route,dose_mg_per_kg,time_min,endpoint,raw_value,raw_unit,n_tested,effect_size,effect_direction,evidence_tier,study_id,reference,pmid,doi,source_url,condition_note,sd
diazepam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,20.0,30.0,positive_or_fallen_mice,10.0,positive_mice_count,10.0,1.0,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,
diazepam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,20.0,60.0,positive_or_fallen_mice,10.0,positive_mice_count,10.0,1.0,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,
diazepam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,20.0,90.0,positive_or_fallen_mice,9.0,positive_mice_count,10.0,0.9,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,
triazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,0.5,15.0,positive_or_fallen_mice,2.0,positive_mice_count,10.0,0.2,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,
triazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,0.5,30.0,positive_or_fallen_mice,3.0,positive_mice_count,10.0,0.3,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,
triazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,0.5,60.0,positive_or_fallen_mice,3.0,positive_mice_count,10.0,0.3,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,
triazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,0.5,90.0,positive_or_fallen_mice,9.0,positive_mice_count,10.0,0.9,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,
triazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,1.0,15.0,positive_or_fallen_mice,3.0,positive_mice_count,10.0,0.3,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,
triazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,1.0,30.0,positive_or_fallen_mice,4.0,positive_mice_count,10.0,0.4,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,
triazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,1.0,60.0,positive_or_fallen_mice,4.0,positive_mice_count,10.0,0.4,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,
triazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,1.0,90.0,positive_or_fallen_mice,2.0,positive_mice_count,10.0,0.2,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,
triazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,2.0,15.0,positive_or_fallen_mice,5.0,positive_mice_count,10.0,0.5,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,
triazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,2.0,30.0,positive_or_fallen_mice,8.0,positive_mice_count,10.0,0.8,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,
triazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,2.0,60.0,positive_or_fallen_mice,7.0,positive_mice_count,10.0,0.7,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,
triazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,2.0,90.0,positive_or_fallen_mice,5.0,positive_mice_count,10.0,0.5,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,
triazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,5.0,15.0,positive_or_fallen_mice,8.0,positive_mice_count,10.0,0.8,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,
triazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,5.0,30.0,positive_or_fallen_mice,9.0,positive_mice_count,10.0,0.9,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,
triazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,5.0,60.0,positive_or_fallen_mice,9.0,positive_mice_count,10.0,0.9,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,
triazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,oral,5.0,90.0,positive_or_fallen_mice,4.0,positive_mice_count,10.0,0.4,motor_impairment,P1,Nishino2008,"Nishino et al., J Pharmacol Sci 107:349-354 (2008)",18603828,10.1254/jphs.08107FP,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Raw positive-count transcription; dose and time are not pooled across drugs.,
triazolam,mouse,ddY,motor_impairment,rotarod,intraperitoneal,0.3,,qualitative_motor_coordination_result,,qualitative,,,motor_coordination_impaired,P1,Tanaka2008,"Tanaka et al., J Pharmacol Sci 107:277-284 (2008)",18603831,10.1254/jphs.FP0071991,https://www.jstage.jst.go.jp/article/jphs/107/3/107_FP0071991/_pdf,Same-study qualitative rotarod result; no numeric fraction inferred.,
zolpidem,mouse,ddY,motor_impairment,rotarod,intraperitoneal,3.0,,qualitative_motor_coordination_result,,qualitative,,,no_effect_under_test_condition,P1,Tanaka2008,"Tanaka et al., J Pharmacol Sci 107:277-284 (2008)",18603831,10.1254/jphs.FP0071991,https://www.jstage.jst.go.jp/article/jphs/107/3/107_FP0071991/_pdf,Same-study qualitative rotarod result; no numeric fraction inferred.,
zolpidem,mouse,ddY,sedation_hypnosis,righting_reflex_with_thiopental,intraperitoneal_with_thiopental,3.0,,righting_reflex_duration,205.3,seconds_mean,,,sedation_duration,P1,Tanaka2008,"Tanaka et al., J Pharmacol Sci 107:277-284 (2008)",18603831,10.1254/jphs.FP0071991,https://www.jstage.jst.go.jp/article/jphs/107/3/107_FP0071991/_pdf,Supporting endpoint; not merged with rotarod values.,62.6
zolpidem,mouse,ddY,sedation_hypnosis,righting_reflex_with_thiopental,intraperitoneal_with_thiopental,10.0,,righting_reflex_duration,1109.1,seconds_mean,,,sedation_duration,P1,Tanaka2008,"Tanaka et al., J Pharmacol Sci 107:277-284 (2008)",18603831,10.1254/jphs.FP0071991,https://www.jstage.jst.go.jp/article/jphs/107/3/107_FP0071991/_pdf,Supporting endpoint; not merged with rotarod values.,122.1
triazolam,mouse,ddY,sedation_hypnosis,righting_reflex_with_thiopental,intraperitoneal_with_thiopental,0.3,,righting_reflex_duration,234.8,seconds_mean,,,sedation_duration,P1,Tanaka2008,"Tanaka et al., J Pharmacol Sci 107:277-284 (2008)",18603831,10.1254/jphs.FP0071991,https://www.jstage.jst.go.jp/article/jphs/107/3/107_FP0071991/_pdf,Supporting endpoint; not merged with rotarod values.,39.5
diazepam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,not_reported_in_abstract,,,qualitative_report,,qualitative,,,single/repeated behavioral models; motor impairment reported,P2,Bourin1992,Bourin1992,1637802,,https://pubmed.ncbi.nlm.nih.gov/1637802/,Qualitative source evidence retained; no numeric value imputed.,
alprazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,not_reported_in_abstract,,,qualitative_report,,qualitative,,,myorelaxing/motor effects reported; no extracted numeric endpoint,P2,Bourin1992,Bourin1992,1637802,,https://pubmed.ncbi.nlm.nih.gov/1637802/,Qualitative source evidence retained; no numeric value imputed.,
diazepam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,not_reported_in_abstract,,,qualitative_report,,qualitative,,,dose-related impairment in mice,P1,Bayley1996,Bayley1996,22302946,10.1177/026988119601000305,https://pubmed.ncbi.nlm.nih.gov/22302946/,Qualitative source evidence retained; no numeric value imputed.,
zolpidem,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,not_reported_in_abstract,,,qualitative_report,,qualitative,,,dose-related impairment in mice,P1,Bayley1996,Bayley1996,22302946,10.1177/026988119601000305,https://pubmed.ncbi.nlm.nih.gov/22302946/,Qualitative source evidence retained; no numeric value imputed.,
alprazolam,mouse,not_reported_in_extracted_table,motor_impairment,rotarod,not_reported_in_abstract,,,qualitative_report,,qualitative,,,rotarod neurologic deficit at 2 mg/kg; tolerance study,P2,Henauer1984,Henauer1984,6493004,10.1016/0024-3205(84)90564-2,https://pubmed.ncbi.nlm.nih.gov/6493004/,Qualitative source evidence retained; no numeric value imputed.,
alprazolam,mouse,not_reported_in_extracted_table,locomotor_activity,open_field,not_reported_in_abstract,,,qualitative_report,,qualitative,,,low-dose activity increase; higher doses decrease activity,P2,Lopez1988,Lopez1988,2845448,10.1016/0091-3057(88)90488-1,https://pubmed.ncbi.nlm.nih.gov/2845448/,Qualitative source evidence retained; no numeric value imputed.,
triazolam,mouse,not_reported_in_extracted_table,locomotor_activity,open_field,not_reported_in_abstract,,,qualitative_report,,qualitative,,,activity decreased dose-dependently,P2,Lopez1988,Lopez1988,2845448,10.1016/0091-3057(88)90488-1,https://pubmed.ncbi.nlm.nih.gov/2845448/,Qualitative source evidence retained; no numeric value imputed.,
